turn,q_index,lang,lang_id,rule_desc,input,target,pred,ce_query,conf_context,zslow_rule_l1,zslow_think_l1,zlang_norm,mem_items,timestamp
7,1,base,0,base: evaluate arithmetic expression,120/(4+6),120/(4+6),111 ,3.4839,0.3471,4.391,8.3256,11.5183,10,2025-10-17T13:18:47
8,0,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 9,sum=81,sumsq 9,3.7376,0.326,3.3422,6.0481,11.5183,11,2025-10-17T13:18:47
8,1,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 2 3 6 1,sum=50,sumsq 2 3 6 1,3.7376,0.326,3.3422,6.0481,11.5183,11,2025-10-17T13:18:47
9,0,base,0,base: factorial -> return n!,fact 7,5040,f0ft,2.5842,0.3573,5.0533,6.7051,11.5183,12,2025-10-17T13:18:47
9,1,base,0,base: factorial -> return n!,fact 2,2,f0fv 2,2.5842,0.3573,5.0533,6.7051,11.5183,12,2025-10-17T13:18:47
10,0,base,0,base: range -> output span between max and min,range 100 60 80,span=40,(0nig 100060 80,4.224,0.2987,4.366,6.6794,11.5183,13,2025-10-17T13:18:47
10,1,base,0,base: range -> output span between max and min,range -3 -7 -1,span=6,([nig -3 -  -1,4.224,0.2987,4.366,6.6794,11.5183,13,2025-10-17T13:18:47
11,0,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,연구 자 들 은 회의 에서 계획 을 공유 했다,연구 자 들 «은» 회의 «에서» 계획 «을» 공유 했다요,구자찄츘계썄찄,5.1075,0.2571,8.7322,14.8862,11.4583,14,2025-10-17T13:18:47
11,1,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,엔지니어 가 새로운 기능 을 배포 했다,엔지니어 «가» 새로운 기능 «을» 배포 했다요,[간됼),5.1075,0.2571,8.7322,14.8862,11.4583,14,2025-10-17T13:18:47
12,0,ko,2,ko: 날짜를 ISO 형태로 변환,점검 2021년 7월 21일 완료,점검 2021-07-21 완료,점겙 2021-02-22 확인  ,1.3262,0.4031,8.1965,14.4278,11.4583,15,2025-10-17T13:18:47
12,1,ko,2,ko: 날짜를 ISO 형태로 변환,데모 2020.11.30 준비,데모 2020-11-30 준비,데모 2020-11-30 욚,1.3262,0.4031,8.1965,14.4278,11.4583,15,2025-10-17T13:18:47
13,0,ko,2,ko: 숫자를 괄호로 감싸기,라운드 9 에서 2 득점,라운드 【9】 에서 【2】 득점,홓]]]]]]]]]])]]]]]]]]]]])]]])]]]]]])]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]])]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],4.7757,0.2725,10.2103,17.6615,11.4583,16,2025-10-17T13:18:47
13,1,ko,2,ko: 숫자를 괄호로 감싸기,피드백 6 건 5 처리,피드백 【6】 건 【5】 처리,[[볜   리,4.7757,0.2725,10.2103,17.6615,11.4583,16,2025-10-17T13:18:47
14,0,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,환경 설정 매뉴얼 검토,검토 매뉴얼 설정 환경 입니다,[ꬊ 켳)])]]))))))]]))))]])])]]])))]]]]))])))]]])))))]]))))),4.4849,0.2996,11.7478,20.3776,11.4583,17,2025-10-17T13:18:48
14,1,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,학습 파이프라인 재구성,재구성 파이프라인 학습 입니다,<]]]]))]]),4.4849,0.2996,11.7478,20.3776,11.4583,17,2025-10-17T13:18:48
15,0,ja,3,ja: ひらがな を カタカナ に 変換,ほうこく を まとめる,ホウコク ヲ マトメル,アゆコク ゲ ゞエヂル,1.3221,0.4471,8.3531,14.3792,11.3929,18,2025-10-17T13:18:48
15,1,ja,3,ja: ひらがな を カタカナ に 変換,れんしゅう を つづける,レンシュウ ヲ ツヅケル,ガコシワエ ゲ イもケル,1.3221,0.4471,8.3531,14.3792,11.3929,18,2025-10-17T13:18:48
16,0,ja,3,ja: カタカナ を ひらがな に 変換,モデル ガ スタート,もでる が すたーと,ぢでに ガ タぼぁ,1.7256,0.4119,6.1835,12.2405,11.3929,19,2025-10-17T13:18:48
16,1,ja,3,ja: カタカナ を ひらがな に 変換,プラン を コンファーム,ぷらん を こんふぁーむ,しぼぁ を めっぁめぼム,1.7256,0.4119,6.1835,12.2405,11.3929,19,2025-10-17T13:18:48
17,0,ja,3,ja: 半角数字 を 全角 に,進捗 88 99,進捗 ８８ ９９,ゲ㍗  .)〚)))))))))))),3.9794,0.2701,6.0232,12.1172,11.3929,20,2025-10-17T13:18:48
17,1,ja,3,ja: 半角数字 を 全角 に,チェック 321,チェック ３２１,もェヂク 21ェ。))ェも㧂)もももももももももも,3.9794,0.2701,6.0232,12.1172,11.3929,20,2025-10-17T13:18:48
18,0,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,배포 schedule final 확정,확정 FINAL SCHEDULE 배포,<[         )]]))),4.8537,0.2734,9.0822,17.6039,11.4583,21,2025-10-17T13:18:48
18,1,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,사용자 feedback queue 정리,정리 QUEUE FEEDBACK 사용자,[[        ],4.8537,0.2734,9.0822,17.6039,11.4583,21,2025-10-17T13:18:48
19,0,base,0,base: sort tokens by length ascending,agent plan code spec,plan code spec agent,ciap      ee  aeurge,2.9583,0.3592,6.8249,13.6635,11.5183,22,2025-10-17T13:18:48
19,1,base,0,base: sort tokens by length ascending,shift align scale move,move shift align scale,[i i     i eueenie    ,2.9583,0.3592,6.8249,13.6635,11.5183,22,2025-10-17T13:18:48
20,0,en,1,en: keep tokens containing at least two vowels,vivid aurora covers entire horizon,vivid aurora covers entire horizon,vivid aurora eovers entire horibon,0.425,0.4381,2.8382,6.2083,10.8949,23,2025-10-17T13:18:48
20,1,en,1,en: keep tokens containing at least two vowels,shallow river carries smooth pebbles,shallow river carries smooth pebbles,shallow river earries smooth rebbles,0.425,0.4381,2.8382,6.2083,10.8949,23,2025-10-17T13:18:48
21,0,en,1,en: reverse tokens then uppercase every 2nd token,hidden lantern guides travelers,TRAVELERS guides LANTERN hidden,[[nnE       u      gu  u  Enguu]]],3.7996,0.3263,3.8461,8.7627,10.8949,24,2025-10-17T13:18:48
21,1,en,1,en: reverse tokens then uppercase every 2nd token,autumn breeze wakes valley,VALLEY wakes BREEZE autumn,[[vuo   uu bg     u     u ]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],3.7996,0.3263,3.8461,8.7627,10.8949,24,2025-10-17T13:18:48
22,0,en,1,en: dedupe tokens then wrap digits with [],memory 8 pulse 8 pulse,memory [8] pulse,memoub 8 runse 8 rulue,2.9844,0.3603,2.599,5.9131,10.8949,25,2025-10-17T13:18:48
22,1,en,1,en: dedupe tokens then wrap digits with [],matrix 1 1 1 reboot,matrix [1] reboot,oattix   1 1 reboot,2.9844,0.3603,2.599,5.9131,10.8949,25,2025-10-17T13:18:48
23,0,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,vector field gamma delta,XGEVQT hkgnf icooc FGNVC,VECToR fleLD gaMoa DELTA,2.4885,0.3815,3.6596,6.801,10.8949,26,2025-10-17T13:18:48
23,1,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,alpha beta gamma delta,CNRJC dgvc icooc FGNVC,ALPHa beta gappA DELTa,2.4885,0.3815,3.6596,6.801,10.8949,26,2025-10-17T13:18:48
24,0,base,0,base: add << >> then sort numeric tokens descending,memory 9 0 3 3,<<memory 9 3 0 3>>,ogo  b   0 3  ,2.728,0.3712,3.2508,6.4892,11.5183,27,2025-10-17T13:18:48
24,1,base,0,base: add << >> then sort numeric tokens descending,signal 4 4 9 7,<<signal 9 4 4 7>>,[ i      4    ,2.728,0.3712,3.2508,6.4892,11.5183,27,2025-10-17T13:18:48
25,0,en,1,en: append #index (1-based) to each token,gather labeled events nightly,gather#1 labeled#2 events#3 nightly#4,idvjgu nddgngd gvgpvu p ijvna],4.7369,0.2763,3.1142,6.4371,10.8949,28,2025-10-17T13:18:48
25,1,en,1,en: append #index (1-based) to each token,render summary table view,render#1 summary#2 table#3 view#4,u[pdgu uuoodub vdbng vlgw]]],4.7369,0.2763,3.1142,6.4371,10.8949,28,2025-10-17T13:18:48
26,0,en,1,en: build acronym and append token count,neural task alignment process,NTAP (4),[EUTAE  Au  AnII EEOT sTOEEuu],4.3431,0.301,4.6469,8.9794,10.8949,29,2025-10-17T13:18:48
26,1,en,1,en: build acronym and append token count,secure channel handshake sequence,SCHS (4),[EEUTE E A OEn HAODUHAEE SETUEEEE],4.3431,0.301,4.6469,8.9794,10.8949,29,2025-10-17T13:18:48
27,0,base,0,base: evaluate arithmetic expression,calc(9*(4+3)),63,41443  ,3.4699,0.347,4.3828,8.699,11.5183,30,2025-10-17T13:18:49
27,1,base,0,base: evaluate arithmetic expression,120/(4+6),120/(4+6),1112,3.4699,0.347,4.3828,8.699,11.5183,30,2025-10-17T13:18:49
28,0,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 9,sum=81,sumsq 9,3.719,0.3271,3.5934,6.503,11.5183,31,2025-10-17T13:18:49
28,1,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 2 3 6 1,sum=50,sumsq 2 3 6 1,3.719,0.3271,3.5934,6.503,11.5183,31,2025-10-17T13:18:49
29,0,base,0,base: factorial -> return n!,fact 7,5040,f0ft,2.5221,0.3605,5.6364,7.704,11.5183,32,2025-10-17T13:18:49
29,1,base,0,base: factorial -> return n!,fact 2,2,f0fv 2,2.5221,0.3605,5.6364,7.704,11.5183,32,2025-10-17T13:18:49
30,0,base,0,base: range -> output span between max and min,range 100 60 80,span=40,(0nig 100060 80,4.2137,0.2991,4.6973,7.3013,11.5183,33,2025-10-17T13:18:49
30,1,base,0,base: range -> output span between max and min,range -3 -7 -1,span=6,([nig -3 -  -1,4.2137,0.2991,4.6973,7.3013,11.5183,33,2025-10-17T13:18:49
31,0,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,연구 자 들 은 회의 에서 계획 을 공유 했다,연구 자 들 «은» 회의 «에서» 계획 «을» 공유 했다요,구 자 볤 츘계썄찄,5.0142,0.2622,8.4068,14.458,11.4583,34,2025-10-17T13:18:49
31,1,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,엔지니어 가 새로운 기능 을 배포 했다,엔지니어 «가» 새로운 기능 «을» 배포 했다요,[슄 간 능찄 배,5.0142,0.2622,8.4068,14.458,11.4583,34,2025-10-17T13:18:49
32,0,ko,2,ko: 날짜를 ISO 형태로 변환,점검 2021년 7월 21일 완료,점검 2021-07-21 완료,점겙 2021-02-22 확인  ,1.2947,0.4058,8.333,14.5563,11.4583,35,2025-10-17T13:18:49
32,1,ko,2,ko: 날짜를 ISO 형태로 변환,데모 2020.11.30 준비,데모 2020-11-30 준비,데모 2020-11-30 욚,1.2947,0.4058,8.333,14.5563,11.4583,35,2025-10-17T13:18:49
33,0,ko,2,ko: 숫자를 괄호로 감싸기,라운드 9 에서 2 득점,라운드 【9】 에서 【2】 득점, 홓]]]]]]]]]]]]]]]]]]]]]])]]])]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],4.719,0.2748,10.2444,17.7489,11.4583,36,2025-10-17T13:18:49
33,1,ko,2,ko: 숫자를 괄호로 감싸기,피드백 6 건 5 처리,피드백 【6】 건 【5】 처리,[[볜   리,4.719,0.2748,10.2444,17.7489,11.4583,36,2025-10-17T13:18:49
34,0,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,환경 설정 매뉴얼 검토,검토 매뉴얼 설정 환경 입니다,[ꬊ ))]]))))]]))]))])]]]]))]]))]]))),4.4625,0.3003,11.4405,20.0815,11.4583,37,2025-10-17T13:18:49
34,1,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,학습 파이프라인 재구성,재구성 파이프라인 학습 입니다,<]]]])],4.4625,0.3003,11.4405,20.0815,11.4583,37,2025-10-17T13:18:49
35,0,ja,3,ja: ひらがな を カタカナ に 変換,ほうこく を まとめる,ホウコク ヲ マトメル,アゆコク ヲ ゞエヂル,1.3054,0.448,8.4675,14.7494,11.3929,38,2025-10-17T13:18:49
35,1,ja,3,ja: ひらがな を カタカナ に 変換,れんしゅう を つづける,レンシュウ ヲ ツヅケル,ガンシワエ ゲ イもケル,1.3054,0.448,8.4675,14.7494,11.3929,38,2025-10-17T13:18:49
36,0,ja,3,ja: カタカナ を ひらがな に 変換,モデル ガ スタート,もでる が すたーと,ぢでに ガ タぼぁ,1.7194,0.4122,6.2307,12.3192,11.3929,39,2025-10-17T13:18:49
36,1,ja,3,ja: カタカナ を ひらがな に 変換,プラン を コンファーム,ぷらん を こんふぁーむ,しぼぁ を めっぁめぼム,1.7194,0.4122,6.2307,12.3192,11.3929,39,2025-10-17T13:18:49
37,0,ja,3,ja: 半角数字 を 全角 に,進捗 88 99,進捗 ８８ ９９,ゲ㍗  .)〚))))))))))))))),3.9524,0.2718,6.2547,12.8937,11.3929,40,2025-10-17T13:18:49
37,1,ja,3,ja: 半角数字 を 全角 に,チェック 321,チェック ３２１,もェヂク 21ェ.。))ェも㧂)もももももも,3.9524,0.2718,6.2547,12.8937,11.3929,40,2025-10-17T13:18:49
38,0,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,배포 schedule final 확정,확정 FINAL SCHEDULE 배포,<[            ]),4.7762,0.2762,8.8327,17.5778,11.4583,41,2025-10-17T13:18:49
38,1,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,사용자 feedback queue 정리,정리 QUEUE FEEDBACK 사용자,[[         븬,4.7762,0.2762,8.8327,17.5778,11.4583,41,2025-10-17T13:18:49
39,0,base,0,base: sort tokens by length ascending,agent plan code spec,plan code spec agent,ciap e    ee  aeu ae,2.9408,0.3598,7.5973,15.5409,11.5183,42,2025-10-17T13:18:50
39,1,base,0,base: sort tokens by length ascending,shift align scale move,move shift align scale,[   ee   i euee ie    ,2.9408,0.3598,7.5973,15.5409,11.5183,42,2025-10-17T13:18:50
40,0,en,1,en: keep tokens containing at least two vowels,vivid aurora covers entire horizon,vivid aurora covers entire horizon,vivid aurora eovers entire horibon,0.1797,0.4378,3.4414,6.9553,10.8949,43,2025-10-17T13:18:50
40,1,en,1,en: keep tokens containing at least two vowels,shallow river carries smooth pebbles,shallow river carries smooth pebbles,shallow river earries smooth pebbles,0.1797,0.4378,3.4414,6.9553,10.8949,43,2025-10-17T13:18:50
41,0,en,1,en: reverse tokens then uppercase every 2nd token,hidden lantern guides travelers,TRAVELERS guides LANTERN hidden,[[nnE       u      gu  u  Enguu]]],3.7974,0.3264,3.9286,9.1839,10.8949,44,2025-10-17T13:18:50
41,1,en,1,en: reverse tokens then uppercase every 2nd token,autumn breeze wakes valley,VALLEY wakes BREEZE autumn,[[v o   uu bg     u     u ]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],3.7974,0.3264,3.9286,9.1839,10.8949,44,2025-10-17T13:18:50
42,0,en,1,en: dedupe tokens then wrap digits with [],memory 8 pulse 8 pulse,memory [8] pulse,memoub 8 runse 8 rulue,2.9844,0.3604,2.7342,6.3903,10.8949,45,2025-10-17T13:18:50
42,1,en,1,en: dedupe tokens then wrap digits with [],matrix 1 1 1 reboot,matrix [1] reboot,oattix   1 1 reboot,2.9844,0.3604,2.7342,6.3903,10.8949,45,2025-10-17T13:18:50
43,0,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,vector field gamma delta,XGEVQT hkgnf icooc FGNVC,VECToR fIeLD gaMoa DELTA,2.4953,0.3808,3.8027,7.1488,10.8949,46,2025-10-17T13:18:50
43,1,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,alpha beta gamma delta,CNRJC dgvc icooc FGNVC,ALPHa beta gaMmA DELTa,2.4953,0.3808,3.8027,7.1488,10.8949,46,2025-10-17T13:18:50
44,0,base,0,base: add << >> then sort numeric tokens descending,memory 9 0 3 3,<<memory 9 3 0 3>>,ogo      0    ,2.7212,0.3721,3.5406,6.9065,11.5183,47,2025-10-17T13:18:50
44,1,base,0,base: add << >> then sort numeric tokens descending,signal 4 4 9 7,<<signal 9 4 4 7>>,[ i      4    ,2.7212,0.3721,3.5406,6.9065,11.5183,47,2025-10-17T13:18:50
45,0,en,1,en: append #index (1-based) to each token,gather labeled events nightly,gather#1 labeled#2 events#3 nightly#4,idvjgu nddgngd gvgpvu p ijvna],4.7356,0.2763,3.2542,6.6679,10.8949,48,2025-10-17T13:18:50
45,1,en,1,en: append #index (1-based) to each token,render summary table view,render#1 summary#2 table#3 view#4,u[pdgu uuoodub vdbng vlgw]]]],4.7356,0.2763,3.2542,6.6679,10.8949,48,2025-10-17T13:18:50
46,0,en,1,en: build acronym and append token count,neural task alignment process,NTAP (4),[EUTAE  Au  AnII EEOT sTOEEuu],4.3456,0.3009,4.6352,9.1697,10.8949,49,2025-10-17T13:18:50
46,1,en,1,en: build acronym and append token count,secure channel handshake sequence,SCHS (4),[EEUTE E A OEn HAODUHAEE SETUEEEE],4.3456,0.3009,4.6352,9.1697,10.8949,49,2025-10-17T13:18:50
47,0,base,0,base: evaluate arithmetic expression,calc(9*(4+3)),63,41443  ,3.4558,0.3473,4.4929,9.0818,11.5183,50,2025-10-17T13:18:50
47,1,base,0,base: evaluate arithmetic expression,120/(4+6),120/(4+6),111 ,3.4558,0.3473,4.4929,9.0818,11.5183,50,2025-10-17T13:18:50
48,0,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 9,sum=81,sumsq 9,3.7147,0.3273,3.7514,6.8077,11.5183,51,2025-10-17T13:18:50
48,1,base,0,base: sumsq -> output sum of squares as sum=VALUE,sumsq 2 3 6 1,sum=50,sumsq 2 3 6 1,3.7147,0.3273,3.7514,6.8077,11.5183,51,2025-10-17T13:18:50
49,0,base,0,base: factorial -> return n!,fact 7,5040,f0f,2.4756,0.3629,6.1676,7.9324,11.5183,52,2025-10-17T13:18:50
49,1,base,0,base: factorial -> return n!,fact 2,2,f0fv 2,2.4756,0.3629,6.1676,7.9324,11.5183,52,2025-10-17T13:18:50
50,0,base,0,base: range -> output span between max and min,range 100 60 80,span=40,(0nig 100060 80,4.2059,0.2994,5.1356,7.5507,11.5183,53,2025-10-17T13:18:51
50,1,base,0,base: range -> output span between max and min,range -3 -7 -1,span=6,([nig -3 -7 -1,4.2059,0.2994,5.1356,7.5507,11.5183,53,2025-10-17T13:18:51
51,0,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,연구 자 들 은 회의 에서 계획 을 공유 했다,연구 자 들 «은» 회의 «에서» 계획 «을» 공유 했다요,구 자 볤 츘계썄찄,5.0152,0.2621,8.736,14.5797,11.4583,54,2025-10-17T13:18:51
51,1,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,엔지니어 가 새로운 기능 을 배포 했다,엔지니어 «가» 새로운 기능 «을» 배포 했다요,[ 간 늼찄 배,5.0152,0.2621,8.736,14.5797,11.4583,54,2025-10-17T13:18:51
52,0,ko,2,ko: 날짜를 ISO 형태로 변환,점검 2021년 7월 21일 완료,점검 2021-07-21 완료,점겙 2021-02-22 확인  ,1.2961,0.4058,8.5273,14.6606,11.4583,55,2025-10-17T13:18:51
52,1,ko,2,ko: 날짜를 ISO 형태로 변환,데모 2020.11.30 준비,데모 2020-11-30 준비,데모 2020-11-30 요,1.2961,0.4058,8.5273,14.6606,11.4583,55,2025-10-17T13:18:51
53,0,ko,2,ko: 숫자를 괄호로 감싸기,라운드 9 에서 2 득점,라운드 【9】 에서 【2】 득점, 홓]]]]]]]]]]]]]]]]]]]]]]])]]])]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],4.6977,0.2757,10.4513,17.8859,11.4583,56,2025-10-17T13:18:51
53,1,ko,2,ko: 숫자를 괄호로 감싸기,피드백 6 건 5 처리,피드백 【6】 건 【5】 처리,[[볜    리,4.6977,0.2757,10.4513,17.8859,11.4583,56,2025-10-17T13:18:51
54,0,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,환경 설정 매뉴얼 검토,검토 매뉴얼 설정 환경 입니다,[ꬊ섋 )]]))))]])]),4.4294,0.3014,11.1409,19.6275,11.4583,57,2025-10-17T13:18:51
54,1,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,학습 파이프라인 재구성,재구성 파이프라인 학습 입니다,<밼]]),4.4294,0.3014,11.1409,19.6275,11.4583,57,2025-10-17T13:18:51
55,0,ja,3,ja: ひらがな を カタカナ に 変換,ほうこく を まとめる,ホウコク ヲ マトメル,アゆコク ヲ ゞエヂル,1.302,0.4482,8.4505,14.682,11.3929,58,2025-10-17T13:18:51
55,1,ja,3,ja: ひらがな を カタカナ に 変換,れんしゅう を つづける,レンシュウ ヲ ツヅケル,ガンシワエ ゲ イもケル,1.302,0.4482,8.4505,14.682,11.3929,58,2025-10-17T13:18:51
56,0,ja,3,ja: カタカナ を ひらがな に 変換,モデル ガ スタート,もでる が すたーと,ぢでに ガ タぼぁ,1.7196,0.4123,6.3389,12.4052,11.3929,59,2025-10-17T13:18:51
56,1,ja,3,ja: カタカナ を ひらがな に 変換,プラン を コンファーム,ぷらん を こんふぁーむ,しぼぁ を めっぁめぼム,1.7196,0.4123,6.3389,12.4052,11.3929,59,2025-10-17T13:18:51
57,0,ja,3,ja: 半角数字 を 全角 に,進捗 88 99,進捗 ８８ ９９,ゲ㍗  .)〚))))))))))))))),3.9511,0.2718,6.3193,13.0554,11.3929,60,2025-10-17T13:18:51
57,1,ja,3,ja: 半角数字 を 全角 に,チェック 321,チェック ３２１,もェヂク 21ェ.。))ェも㧂)もももももも,3.9511,0.2718,6.3193,13.0554,11.3929,60,2025-10-17T13:18:51
58,0,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,배포 schedule final 확정,확정 FINAL SCHEDULE 배포,<[             )]])),4.7705,0.2764,8.8736,17.7577,11.4583,61,2025-10-17T13:18:51
58,1,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,사용자 feedback queue 정리,정리 QUEUE FEEDBACK 사용자,[[          ,4.7705,0.2764,8.8736,17.7577,11.4583,61,2025-10-17T13:18:51
59,0,base,0,base: sort tokens by length ascending,agent plan code spec,plan code spec agent,ciap e    ee  aeu ae,2.9405,0.3598,7.73,15.936,11.5183,62,2025-10-17T13:18:51
59,1,base,0,base: sort tokens by length ascending,shift align scale move,move shift align scale,[   ee   i euee ie    ,2.9405,0.3598,7.73,15.936,11.5183,62,2025-10-17T13:18:51
60,0,en,1,en: keep tokens containing at least two vowels,vivid aurora covers entire horizon,vivid aurora covers entire horizon,vivid aurora eovers entire horibon,0.2019,0.438,3.8663,7.6119,10.8949,63,2025-10-17T13:18:51
60,1,en,1,en: keep tokens containing at least two vowels,shallow river carries smooth pebbles,shallow river carries smooth pebbles,shallow river earries smooth pebbles,0.2019,0.438,3.8663,7.6119,10.8949,63,2025-10-17T13:18:51
61,0,en,1,en: reverse tokens then uppercase every 2nd token,hidden lantern guides travelers,TRAVELERS guides LANTERN hidden,[[nnE       u      gu  u  Enguu]]],3.7957,0.3265,4.1237,9.64,10.8949,64,2025-10-17T13:18:51
61,1,en,1,en: reverse tokens then uppercase every 2nd token,autumn breeze wakes valley,VALLEY wakes BREEZE autumn,[[v     uu bg     u     g ]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],3.7957,0.3265,4.1237,9.64,10.8949,64,2025-10-17T13:18:51
62,0,en,1,en: dedupe tokens then wrap digits with [],memory 8 pulse 8 pulse,memory [8] pulse,memoub 8 runse 8 rulue,2.9864,0.3603,2.9099,6.8075,10.8949,65,2025-10-17T13:18:51
